"id","title","author","genre","year","description"
"11","The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1)","Douglas Adams/Stephen Fry","Science Fiction;Fiction;Humor;Classics;Fantasy;Humor","2005","A book titled The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1) written by Douglas Adams/Stephen Fry belonging to the Science Fiction;Fiction;Humor;Classics;Fantasy;Humor genre."
"12","The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5)","Douglas Adams","Science Fiction;Fiction;Humor;Fantasy;Classics;Humor","1996","A book titled The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5) written by Douglas Adams belonging to the Science Fiction;Fiction;Humor;Fantasy;Classics;Humor genre."
"13","A Short History of Nearly Everything","Bill Bryson","Nonfiction;Science;History;Audiobook;Humor;Science","2004","A book titled A Short History of Nearly Everything written by Bill Bryson belonging to the Nonfiction;Science;History;Audiobook;Humor;Science genre."
"14","Bill Bryson's African Diary","Bill Bryson","Travel;Nonfiction;Cultural","2002","A book titled Bill Bryson's African Diary written by Bill Bryson belonging to the Travel;Nonfiction;Cultural genre."
"15","Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right","Bill Bryson","Nonfiction;Language","2004","A book titled Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right written by Bill Bryson belonging to the Nonfiction;Language genre."
"16","In a Sunburned Country","Bill Bryson","Travel;Nonfiction;Humor;Cultural","2001","A book titled In a Sunburned Country written by Bill Bryson belonging to the Travel;Nonfiction;Humor;Cultural genre."
"17","I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away","Bill Bryson","Nonfiction;Travel;Humor;Autobiography","2000","A book titled I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away written by Bill Bryson belonging to the Nonfiction;Travel;Humor;Autobiography genre."
"18","The Lost Continent: Travels in Small Town America","Bill Bryson","Travel;Nonfiction;Humor;Autobiography","1990","A book titled The Lost Continent: Travels in Small Town America written by Bill Bryson belonging to the Travel;Nonfiction;Humor;Autobiography genre."
"19","Neither Here nor There: Travels in Europe","Bill Bryson","Travel;Nonfiction;Humor;Autobiography","1993","A book titled Neither Here nor There: Travels in Europe written by Bill Bryson belonging to the Travel;Nonfiction;Humor;Autobiography genre."
"20","Notes from a Small Island","Bill Bryson","Travel;Nonfiction;Humor;Autobiography","1997","A book titled Notes from a Small Island written by Bill Bryson belonging to the Travel;Nonfiction;Humor;Autobiography genre."
"21","The Mother Tongue: English and How It Got That Way","Bill Bryson","Nonfiction;History;Humanities","1991","A book titled The Mother Tongue: English and How It Got That Way written by Bill Bryson belonging to the Nonfiction;History;Humanities genre."
"22","J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings","J.R.R. Tolkien","Fantasy;Fiction;Classics;Adventure;Science Fiction Fantasy;Fantasy","2012","A book titled J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings written by J.R.R. Tolkien belonging to the Fantasy;Fiction;Classics;Adventure;Science Fiction Fantasy;Fantasy genre."
"23","The Lord of the Rings (The Lord of the Rings  #1-3)","J.R.R. Tolkien","Fantasy;Classics;Fiction;Adventure;Science Fiction Fantasy;Fantasy","2004","A book titled The Lord of the Rings (The Lord of the Rings  #1-3) written by J.R.R. Tolkien belonging to the Fantasy;Classics;Fiction;Adventure;Science Fiction Fantasy;Fantasy genre."
"24","The Fellowship of the Ring (The Lord of the Rings  #1)","J.R.R. Tolkien","Fantasy;Classics;Fiction;Adventure;Fantasy","2003","A book titled The Fellowship of the Ring (The Lord of the Rings  #1) written by J.R.R. Tolkien belonging to the Fantasy;Classics;Fiction;Adventure;Fantasy genre."
"25","The Lord of the Rings (The Lord of the Rings  #1-3)","J.R.R. Tolkien/Alan  Lee","Fantasy;Classics;Fiction;Adventure;Science Fiction Fantasy;Fantasy","2002","A book titled The Lord of the Rings (The Lord of the Rings  #1-3) written by J.R.R. Tolkien/Alan  Lee belonging to the Fantasy;Classics;Fiction;Adventure;Science Fiction Fantasy;Fantasy genre."
"26","The Lord of the Rings: Weapons and Warfare","Chris   Smith/Christopher  Lee/Richard Taylor","Fantasy;Art;Fiction;Reference;Media Tie In;Culture","2003","A book titled The Lord of the Rings: Weapons and Warfare written by Chris   Smith/Christopher  Lee/Richard Taylor belonging to the Fantasy;Art;Fiction;Reference;Media Tie In;Culture genre."
"27","The Lord of the Rings: Complete Visual Companion","Jude Fisher","Fantasy;Reference;Media Tie In;Culture","2004","A book titled The Lord of the Rings: Complete Visual Companion written by Jude Fisher belonging to the Fantasy;Reference;Media Tie In;Culture genre."
"28","Agile Web Development with Rails: A Pragmatic Guide","Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz","Computer Science","2005","A book titled Agile Web Development with Rails: A Pragmatic Guide written by Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz belonging to the Computer Science genre."
"29","Hatchet (Brian's Saga  #1)","Gary Paulsen","Young Adult;Fiction;Classics;Adventure;Adventure","2000","A book titled Hatchet (Brian's Saga  #1) written by Gary Paulsen belonging to the Young Adult;Fiction;Classics;Adventure;Adventure genre."
"30","Hatchet: A Guide for Using ""Hatchet"" in the Classroom","Donna Ickes/Edward Sciranko/Keith Vasconcelles","Education","1994","A book titled Hatchet: A Guide for Using ""Hatchet"" in the Classroom written by Donna Ickes/Edward Sciranko/Keith Vasconcelles belonging to the Education genre."
"31","Guts: The True Stories behind Hatchet and the Brian Books","Gary Paulsen","Nonfiction;Biography;Adventure;Adventure","2001","A book titled Guts: The True Stories behind Hatchet and the Brian Books written by Gary Paulsen belonging to the Nonfiction;Biography;Adventure;Adventure genre."
"32","Molly Hatchet - 5 of the Best","Molly Hatchet","Unknown","2003","A book titled Molly Hatchet - 5 of the Best written by Molly Hatchet belonging to the Unknown genre."
"33","Hatchet Jobs: Writings on Contemporary Fiction","Dale Peck","Nonfiction;Writing","2005","A book titled Hatchet Jobs: Writings on Contemporary Fiction written by Dale Peck belonging to the Nonfiction;Writing genre."
"34","A Changeling for All Seasons (Changeling Seasons #1)","Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati","Romance;Fantasy","2005","A book titled A Changeling for All Seasons (Changeling Seasons #1) written by Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati belonging to the Romance;Fantasy genre."
"35","Changeling (Changeling  #1)","Delia Sherman","Fantasy;Young Adult;Fantasy","2006","A book titled Changeling (Changeling  #1) written by Delia Sherman belonging to the Fantasy;Young Adult;Fantasy genre."
"36","The Changeling Sea","Patricia A. McKillip","Fantasy;Young Adult;Romance;Fiction;Fantasy","2003","A book titled The Changeling Sea written by Patricia A. McKillip belonging to the Fantasy;Young Adult;Romance;Fiction;Fantasy genre."
"37","The Changeling","Zilpha Keatley Snyder","Fiction;Young Adult;Fantasy;Childrens;Childrens","2004","A book titled The Changeling written by Zilpha Keatley Snyder belonging to the Fiction;Young Adult;Fantasy;Childrens;Childrens genre."
"38","The Changeling","Kate Horsley","Historical","2005","A book titled The Changeling written by Kate Horsley belonging to the Historical genre."
"39","The Changeling (Daughters of England  #15)","Philippa Carr","Historical","1990","A book titled The Changeling (Daughters of England  #15) written by Philippa Carr belonging to the Historical genre."
"40","The Known World","Edward P. Jones","Historical","2006","A book titled The Known World written by Edward P. Jones belonging to the Historical genre."
"41","The Known World","Edward P. Jones/Kevin R. Free","Historical","2004","A book titled The Known World written by Edward P. Jones/Kevin R. Free belonging to the Historical genre."
"42","The Known World","Edward P. Jones","Historical","2004","A book titled The Known World written by Edward P. Jones belonging to the Historical genre."
"43","Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives","Satyajit Das","Economics","2006","A book titled Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives written by Satyajit Das belonging to the Economics genre."
"44","Artesia: Adventures in the Known World","Mark Smylie","Fantasy;Games","2005","A book titled Artesia: Adventures in the Known World written by Mark Smylie belonging to the Fantasy;Games genre."
"45","The John McPhee Reader (John McPhee Reader  #1)","John McPhee/William Howarth","Nonfiction;Writing","1982","A book titled The John McPhee Reader (John McPhee Reader  #1) written by John McPhee/William Howarth belonging to the Nonfiction;Writing genre."
"46","Uncommon Carriers","John McPhee","Nonfiction;Writing","2006","A book titled Uncommon Carriers written by John McPhee belonging to the Nonfiction;Writing genre."
"47","Heirs of General Practice","John McPhee","Nonfiction;Health","1986","A book titled Heirs of General Practice written by John McPhee belonging to the Nonfiction;Health genre."
"48","The Control of Nature","John McPhee","Nonfiction;Science;Environment","1990","A book titled The Control of Nature written by John McPhee belonging to the Nonfiction;Science;Environment genre."
"49","Annals of the Former World","John McPhee","Science;Nonfiction;Science","1999","A book titled Annals of the Former World written by John McPhee belonging to the Science;Nonfiction;Science genre."
"50","Coming Into the Country","John McPhee","Nonfiction;Travel;Environment","1991","A book titled Coming Into the Country written by John McPhee belonging to the Nonfiction;Travel;Environment genre."
"51","La Place de la Concorde Suisse","John McPhee","Nonfiction;History;Travel;Writing","1994","A book titled La Place de la Concorde Suisse written by John McPhee belonging to the Nonfiction;History;Travel;Writing genre."
"52","Giving Good Weight","John McPhee","Nonfiction;Writing","1994","A book titled Giving Good Weight written by John McPhee belonging to the Nonfiction;Writing genre."
"53","Rising from the Plains","John McPhee","Nonfiction;Science;Science","1987","A book titled Rising from the Plains written by John McPhee belonging to the Nonfiction;Science;Science genre."
"54","The Heidi Chronicles","Wendy Wasserstein","Plays;Drama;Fiction;Plays","2002","A book titled The Heidi Chronicles written by Wendy Wasserstein belonging to the Plays;Drama;Fiction;Plays genre."
"55","The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic","Wendy Wasserstein","Plays;Drama;Plays","1991","A book titled The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic written by Wendy Wasserstein belonging to the Plays;Drama;Plays genre."
"56","Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening","Heidi Hayes Jacobs","Teaching","2006","A book titled Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening written by Heidi Hayes Jacobs belonging to the Teaching genre."
"57","Simply Beautiful Beaded Jewelry","Heidi Boyd","Art","2006","A book titled Simply Beautiful Beaded Jewelry written by Heidi Boyd belonging to the Art genre."
"58","Always Enough: God's Miraculous Provision Among the Poorest Children on Earth","Heidi Baker/Rolland Baker","Christian;Biography;Nonfiction;Religion","2003","A book titled Always Enough: God's Miraculous Provision Among the Poorest Children on Earth written by Heidi Baker/Rolland Baker belonging to the Christian;Biography;Nonfiction;Religion genre."
"59","Mapping the Big Picture: Integrating Curriculum & Assessment K-12","Heidi Hayes Jacobs","Education;Teaching","1997","A book titled Mapping the Big Picture: Integrating Curriculum & Assessment K-12 written by Heidi Hayes Jacobs belonging to the Education;Teaching genre."
"60","Heidi (Heidi  #1-2)","Johanna Spyri/Beverly Cleary/Angelo  Rinaldi","Classics;Fiction;Childrens;Young Adult;Historical","2002","A book titled Heidi (Heidi  #1-2) written by Johanna Spyri/Beverly Cleary/Angelo  Rinaldi belonging to the Classics;Fiction;Childrens;Young Adult;Historical genre."
"61","Getting Results with Curriculum Mapping","Heidi Hayes Jacobs","Education;Teaching","2004","A book titled Getting Results with Curriculum Mapping written by Heidi Hayes Jacobs belonging to the Education;Teaching genre."
"62","There's Always Enough: The Miraculous Move of God in Mozambique","Rolland Baker/Heidi Baker","Christian;Biography;Nonfiction;Religion","2003","A book titled There's Always Enough: The Miraculous Move of God in Mozambique written by Rolland Baker/Heidi Baker belonging to the Christian;Biography;Nonfiction;Religion genre."
"63","What to Expect the First Year (What to Expect)","Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome","Parenting;Nonfiction;Reference;Self Help;Health;Family;Childrens;Adult;Unfinished;Education","2003","A book titled What to Expect the First Year (What to Expect) written by Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome belonging to the Parenting;Nonfiction;Reference;Self Help;Health;Family;Childrens;Adult;Unfinished;Education genre."
"64","The Player's Handbook: The Ultimate Guide on Dating and Relationships","Heidi Fleiss/Libby Keatinge","Self Help","2004","A book titled The Player's Handbook: The Ultimate Guide on Dating and Relationships written by Heidi Fleiss/Libby Keatinge belonging to the Self Help genre."
"65","Simply Beautiful Beading: 53 Quick and Easy Projects","Heidi Boyd","Art","2004","A book titled Simply Beautiful Beading: 53 Quick and Easy Projects written by Heidi Boyd belonging to the Art genre."
"66","God Emperor of Dune (Dune Chronicles  #4)","Frank Herbert","Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Classics;Space","1987","A book titled God Emperor of Dune (Dune Chronicles  #4) written by Frank Herbert belonging to the Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Classics;Space genre."
"67","Chapterhouse: Dune (Dune Chronicles #6)","Frank Herbert","Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Classics;Space","1987","A book titled Chapterhouse: Dune (Dune Chronicles #6) written by Frank Herbert belonging to the Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Classics;Space genre."
"68","Dune Messiah (Dune Chronicles #2)","Frank Herbert","Science Fiction;Fiction;Fantasy;Classics;Science Fiction Fantasy;Space","1987","A book titled Dune Messiah (Dune Chronicles #2) written by Frank Herbert belonging to the Science Fiction;Fiction;Fantasy;Classics;Science Fiction Fantasy;Space genre."
"69","Dreamer of Dune: The Biography of Frank Herbert","Brian Herbert","Biography;Nonfiction;Science Fiction Fantasy;Biography","2004","A book titled Dreamer of Dune: The Biography of Frank Herbert written by Brian Herbert belonging to the Biography;Nonfiction;Science Fiction Fantasy;Biography genre."
"70","Heretics of Dune (Dune Chronicles  #5)","Frank Herbert","Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Classics;Space","1984","A book titled Heretics of Dune (Dune Chronicles  #5) written by Frank Herbert belonging to the Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Classics;Space genre."
"71","The Road to Dune","Frank Herbert/Brian Herbert/Kevin J. Anderson","Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Space","2006","A book titled The Road to Dune written by Frank Herbert/Brian Herbert/Kevin J. Anderson belonging to the Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Space genre."
"72","Heretics of Dune (Dune Chronicles #5)","Frank Herbert","Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Classics;Space","1987","A book titled Heretics of Dune (Dune Chronicles #5) written by Frank Herbert belonging to the Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Classics;Space genre."
"73","The Lord of the Rings: The Art of the Fellowship of the Ring","Gary Russell","Fantasy;Art;Fiction;Classics;Culture","2002","A book titled The Lord of the Rings: The Art of the Fellowship of the Ring written by Gary Russell belonging to the Fantasy;Art;Fiction;Classics;Culture genre."
"74","The Power of One (The Power of One  #1)","Bryce Courtenay","Fiction;Historical","1996","A book titled The Power of One (The Power of One  #1) written by Bryce Courtenay belonging to the Fiction;Historical genre."
"75","The Power of One (The Power of One  #1)","Bryce Courtenay","Fiction;Historical","2005","A book titled The Power of One (The Power of One  #1) written by Bryce Courtenay belonging to the Fiction;Historical genre."
"76","The Power of One: One Person  One Rule  One Month","John C. Maxwell/Stephen R. Graves/Thomas G. Addington","Business;Leadership;Self Help","2004","A book titled The Power of One: One Person  One Rule  One Month written by John C. Maxwell/Stephen R. Graves/Thomas G. Addington belonging to the Business;Leadership;Self Help genre."
"77","Power of an Hour: Business and Life Mastery in One Hour a Week","Dave Lakhani","Business;Nonfiction;Self Help;Productivity;Leadership;Audiobook","2006","A book titled Power of an Hour: Business and Life Mastery in One Hour a Week written by Dave Lakhani belonging to the Business;Nonfiction;Self Help;Productivity;Leadership;Audiobook genre."
"78","The Power of One: The Solo Play for Playwrights  Actors  and Directors","Louis E. Catron","Performing Arts","2000","A book titled The Power of One: The Solo Play for Playwrights  Actors  and Directors written by Louis E. Catron belonging to the Performing Arts genre."
"79","How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days","Adam Ginsberg","Business","2005","A book titled How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days written by Adam Ginsberg belonging to the Business genre."
"80","eBay for Dummies","Marsha Collier","Reference;Nonfiction;Business;Computer Science","2006","A book titled eBay for Dummies written by Marsha Collier belonging to the Reference;Nonfiction;Business;Computer Science genre."
"81","What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond","Chris Malta/Lisa Suttora","Business;Economics","2006","A book titled What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond written by Chris Malta/Lisa Suttora belonging to the Business;Economics genre."
"82","Starting an eBay Business for Dummies","Marsha Collier","Business;Nonfiction;Reference","2004","A book titled Starting an eBay Business for Dummies written by Marsha Collier belonging to the Business;Nonfiction;Reference genre."
"83","eBay: Top 100 Simplified Tips & Tricks","Julia Wilkinson","Computers","2006","A book titled eBay: Top 100 Simplified Tips & Tricks written by Julia Wilkinson belonging to the Computers genre."
"84","ebay Timesaving Techniques for Dummies","Marsha Collier","Horror;Business","2004","A book titled ebay Timesaving Techniques for Dummies written by Marsha Collier belonging to the Horror;Business genre."
"85","eBay Business All-in-One Desk Reference for Dummies","Marsha Collier","Reference","2005","A book titled eBay Business All-in-One Desk Reference for Dummies written by Marsha Collier belonging to the Reference genre."
"86","Ruby Cookbook","Lucas Carlson/Leonard Richardson","Computer Science","2006","A book titled Ruby Cookbook written by Lucas Carlson/Leonard Richardson belonging to the Computer Science genre."
"87","Ruby Ann's Down Home Trailer Park Cookbook","Ruby Ann Boxcar","Food and Drink","2005","A book titled Ruby Ann's Down Home Trailer Park Cookbook written by Ruby Ann Boxcar belonging to the Food and Drink genre."
"88","Ruby Ann's Down Home Trailer Park BBQin' Cookbook","Ruby Ann Boxcar","Humor","2005","A book titled Ruby Ann's Down Home Trailer Park BBQin' Cookbook written by Ruby Ann Boxcar belonging to the Humor genre."
"89","Rails Cookbook: Recipes for Rapid Web Development with Ruby","Rob Orsini","Reference;Computer Science","2007","A book titled Rails Cookbook: Recipes for Rapid Web Development with Ruby written by Rob Orsini belonging to the Reference;Computer Science genre."
"90","Anna Karenina","Leo Tolstoy/Richard Pevear/Larissa Volokhonsky","Classics;Fiction;Romance;Cultural","2004","A book titled Anna Karenina written by Leo Tolstoy/Richard Pevear/Larissa Volokhonsky belonging to the Classics;Fiction;Romance;Cultural genre."
"91","Anna Karenina","Leo Tolstoy/David Magarshack/Priscilla Meyer","Classics;Fiction;Romance;Cultural","2002","A book titled Anna Karenina written by Leo Tolstoy/David Magarshack/Priscilla Meyer belonging to the Classics;Fiction;Romance;Cultural genre."
"92","Anna Karenina","Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley","Classics;Fiction;Romance;Cultural","2003","A book titled Anna Karenina written by Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley belonging to the Classics;Fiction;Romance;Cultural genre."
"93","CliffsNotes on Tolstoy's Anna Karenina","Marianne Sturman/Leo Tolstoy","Literary Criticism","1965","A book titled CliffsNotes on Tolstoy's Anna Karenina written by Marianne Sturman/Leo Tolstoy belonging to the Literary Criticism genre."
"94","Anna Karenina","Leo Tolstoy/Amy Mandelker/Constance Garnett","Classics;Fiction;Romance;Cultural","2003","A book titled Anna Karenina written by Leo Tolstoy/Amy Mandelker/Constance Garnett belonging to the Classics;Fiction;Romance;Cultural genre."
"95","Anna Karenina","Leo Tolstoy/Louise Maude/Aylmer Maude","Classics;Fiction;Romance;Cultural","2004","A book titled Anna Karenina written by Leo Tolstoy/Louise Maude/Aylmer Maude belonging to the Classics;Fiction;Romance;Cultural genre."
"96","Anna Karenina","Leo Tolstoy/Constance Garnett/Amy Mandelker","Classics;Fiction;Romance;Cultural","2004","A book titled Anna Karenina written by Leo Tolstoy/Constance Garnett/Amy Mandelker belonging to the Classics;Fiction;Romance;Cultural genre."
"97","Dinner with Anna Karenina","Gloria Goldreich","Fiction;Writing","2006","A book titled Dinner with Anna Karenina written by Gloria Goldreich belonging to the Fiction;Writing genre."
"98","Tolstoy: Anna Karenina","Anthony Thorlby","Classics;Fiction;Literature","1987","A book titled Tolstoy: Anna Karenina written by Anthony Thorlby belonging to the Classics;Fiction;Literature genre."
"99","Untouchable","Mulk Raj Anand/E.M. Forster","Cultural","1990","A book titled Untouchable written by Mulk Raj Anand/E.M. Forster belonging to the Cultural genre."
"100","The Untouchable","John Banville","Fiction;Historical","1998","A book titled The Untouchable written by John Banville belonging to the Fiction;Historical genre."
"101","The Untouchables","Eliot Ness/Oscar Fraley","Nonfiction;History;Crime","1996","A book titled The Untouchables written by Eliot Ness/Oscar Fraley belonging to the Nonfiction;History;Crime genre."
"102","Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India","Narendra Jadhav","Cultural","2005","A book titled Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India written by Narendra Jadhav belonging to the Cultural genre."
"103","Dalit: The Black Untaouchables of India","V.T. Rajshekar/Y.N. Kly","Cultural","1995","A book titled Dalit: The Black Untaouchables of India written by V.T. Rajshekar/Y.N. Kly belonging to the Cultural genre."
"104","Growing Up Untouchable in India: A Dalit Autobiography","Vasant Moon/Gail Omvedt/Eleanor Zelliot","Cultural","2000","A book titled Growing Up Untouchable in India: A Dalit Autobiography written by Vasant Moon/Gail Omvedt/Eleanor Zelliot belonging to the Cultural genre."
"105","The Evidence-Based Social Work Skills Book","Barry R. Cournoyer","Social Science","2003","A book titled The Evidence-Based Social Work Skills Book written by Barry R. Cournoyer belonging to the Social Science genre."
"106","A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom","John Carratello/Patty Carratello/Theresa Wright","Education","1991","A book titled A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom written by John Carratello/Patty Carratello/Theresa Wright belonging to the Education genre."
"107","Wrinkles in Time","George Smoot/Keay Davidson","Science;Science","1994","A book titled Wrinkles in Time written by George Smoot/Keay Davidson belonging to the Science;Science genre."
"108","A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1)","Madeleine L'Engle","Fantasy;Fiction;Classics;Young Adult;Science Fiction;Childrens;Childrens","2002","A book titled A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1) written by Madeleine L'Engle belonging to the Fantasy;Fiction;Classics;Young Adult;Science Fiction;Childrens;Childrens genre."
"109","Literature Circle Guide: A Wrinkle in Time","Tara MacCarthy","Education","2002","A book titled Literature Circle Guide: A Wrinkle in Time written by Tara MacCarthy belonging to the Education genre."
"110","Una arruga en el tiempo – A Wrinkle in Time","Madeleine L'Engle","Fantasy;Fiction;Classics;Young Adult;Science Fiction;Childrens;Childrens","1984","A book titled Una arruga en el tiempo – A Wrinkle in Time written by Madeleine L'Engle belonging to the Fantasy;Fiction;Classics;Young Adult;Science Fiction;Childrens;Childrens genre."
"111","The Long Shadow (The Morland Dynasty  #6)","Cynthia Harrod-Eagles","Historical","1994","A book titled The Long Shadow (The Morland Dynasty  #6) written by Cynthia Harrod-Eagles belonging to the Historical genre."
"112","A Long Shadow (Inspector Ian Rutledge  #8)","Charles Todd","Mystery;Historical","2006","A book titled A Long Shadow (Inspector Ian Rutledge  #8) written by Charles Todd belonging to the Mystery;Historical genre."
"113","Long Way Round: Chasing Shadows Across the World","Ewan McGregor/Charley Boorman/Robert Uhlig","Travel;Nonfiction;Adventure;Biography;Autobiography","2005","A book titled Long Way Round: Chasing Shadows Across the World written by Ewan McGregor/Charley Boorman/Robert Uhlig belonging to the Travel;Nonfiction;Adventure;Biography;Autobiography genre."
"114","A Shadow in Summer (Long Price Quartet  #1)","Daniel Abraham","Fantasy;Fiction;Fantasy","2006","A book titled A Shadow in Summer (Long Price Quartet  #1) written by Daniel Abraham belonging to the Fantasy;Fiction;Fantasy genre."
"115","New Hope for the Dead (Hoke Mosely #2)","Charles Willeford/James Lee Burke","Mystery","2004","A book titled New Hope for the Dead (Hoke Mosely #2) written by Charles Willeford/James Lee Burke belonging to the Mystery genre."
